sample	genusspecies	species	var	state	county	lat	lon	reads
C-aust-51aR-Trinity-CA	C-aust	aust	NA	CA	Trinity	40.7514435	-122.9167485	229677
C-aust-51bR-Trinity-CA	C-aust	aust	NA	CA	Trinity	40.7514435	-122.9167485	309946
C-aust-51eR-Trinity-CA	C-aust	aust	NA	CA	Trinity	40.7514435	-122.9167485	235319
C-aust-520aR-Calaveras-CA	C-aust	aust	NA	CA	Calaveras	38.1464929	-120.6476537	239700
C-aust-520bR-Calaveras-CA	C-aust	aust	NA	CA	Calaveras	38.1464929	-120.6476537	352882
C-aust-520dR-Calaveras-CA	C-aust	aust	NA	CA	Calaveras	38.1464929	-120.6476537	293010
C-aust-520eR-Calaveras-CA	C-aust	aust	NA	CA	Calaveras	38.1464929	-120.6476537	382494
C-aust-520fR-Calaveras-CA	C-aust	aust	NA	CA	Calaveras	38.1464929	-120.6476537	251967
C-aust-523bR-Placer-CA	C-aust	aust	NA	CA	Placer	38.7533698	-121.2868695	30909
C-aust-523cR-Placer-CA	C-aust	aust	NA	CA	Placer	38.7533698	-121.2868695	269073
C-aust-523dR-Placer-CA	C-aust	aust	NA	CA	Placer	38.7533698	-121.2868695	224491
C-aust-526bR-Shasta-CA	C-aust	aust	NA	CA	Shasta	40.6273671	-122.3143175	412488
C-aust-526cR-Shasta-CA	C-aust	aust	NA	CA	Shasta	40.6273671	-122.3143175	326808
C-aust-526dR-Shasta-CA	C-aust	aust	NA	CA	Shasta	40.6273671	-122.3143175	202320
C-aust-52bR-Humboldt-CA	C-aust	aust	NA	CA	Humboldt	40.8755745	-124.078044	190971
C-aust-52eR-Humboldt-CA	C-aust	aust	NA	CA	Humboldt	40.8755745	-124.078044	209958
C-aust-538bR-Benton-OR	C-aust	aust	NA	OR	Benton	44.5652773	-123.2623574	38615
C-aust-539aR-Klickitat-WA	C-aust	aust	NA	WA	Klickitat	45.8136582	-121.1618847	301142
C-aust-539bR-Klickitat-WA	C-aust	aust	NA	WA	Klickitat	45.8136582	-121.1618847	251723
C-aust-539cR-Klickitat-WA	C-aust	aust	NA	WA	Klickitat	45.8136582	-121.1618847	252937
C-aust-539dR-Klickitat-WA	C-aust	aust	NA	WA	Klickitat	45.8136582	-121.1618847	292669
C-aust-539eR-Klickitat-WA	C-aust	aust	NA	WA	Klickitat	45.8136582	-121.1618847	255165
C-aust-539fR-Klickitat-WA	C-aust	aust	NA	WA	Klickitat	45.8136582	-121.1618847	428922
C-aust-539gR-Klickitat-WA	C-aust	aust	NA	WA	Klickitat	45.8136582	-121.1618847	319120
C-aust-53aR-Siskiyou-CA	C-aust	aust	NA	CA	Siskiyou	41.3046416	-122.3124929	201887
C-aust-545bR-HoodRiver-OR	C-aust	aust	NA	OR	HoodRiver	45.5605	-121.6379	3163
C-aust-545cR-HoodRiver-OR	C-aust	aust	NA	OR	HoodRiver	45.5605	-121.6379	29057
C-aust-54aR-Benton-OR	C-aust	aust	NA	OR	Benton	44.5652773	-123.2623574	218087
C-aust-54bR-Benton-OR	C-aust	aust	NA	OR	Benton	44.5652773	-123.2623574	231827
C-aust-54cR-Benton-OR	C-aust	aust	NA	OR	Benton	44.5652773	-123.2623574	229778
C-aust-570aR-Amador-CA	C-aust	aust	NA	CA	Amador	38.3774487	-120.7951165	193126
C-aust-570bR-Amador-CA	C-aust	aust	NA	CA	Amador	38.3774487	-120.7951165	232981
C-aust-570cR-Amador-CA	C-aust	aust	NA	CA	Amador	38.3774487	-120.7951165	248484
C-aust-571aR-Nevada-CA	C-aust	aust	NA	CA	Nevada	39.2232171	-121.0029937	264968
C-aust-571bR-Nevada-CA	C-aust	aust	NA	CA	Nevada	39.2232171	-121.0029937	257742
C-aust-571cR-Nevada-CA	C-aust	aust	NA	CA	Nevada	39.2232171	-121.0029937	64172
C-aust-571dR-Nevada-CA	C-aust	aust	NA	CA	Nevada	39.2232171	-121.0029937	188403
C-aust-571eR-Nevada-CA	C-aust	aust	NA	CA	Nevada	39.2232171	-121.0029937	202283
C-aust-574aR-Tehama-CA	C-aust	aust	NA	CA	Tehama	39.9318605	-122.1836852	152632
C-aust-574bR-Tehama-CA	C-aust	aust	NA	CA	Tehama	39.9318605	-122.1836852	213392
C-aust-574cR-Tehama-CA	C-aust	aust	NA	CA	Tehama	39.9318605	-122.1836852	233833
C-aust-575aR-Humboldt-CA	C-aust	aust	NA	CA	Humboldt	40.8755745	-124.078044	235755
C-aust-575bR-Humboldt-CA	C-aust	aust	NA	CA	Humboldt	40.8755745	-124.078044	228007
C-aust-575cR-Humboldt-CA	C-aust	aust	NA	CA	Humboldt	40.8755745	-124.078044	214237
C-aust-575dR-Humboldt-CA	C-aust	aust	NA	CA	Humboldt	40.8755745	-124.078044	232665
C-aust-575eR-Humboldt-CA	C-aust	aust	NA	CA	Humboldt	40.8755745	-124.078044	460887
C-aust-579aR-Lassen-CA	C-aust	aust	NA	CA	Lassen	40.4162428	-120.6628541	265165
C-aust-579bR-Lassen-CA	C-aust	aust	NA	CA	Lassen	40.4162428	-120.6628541	254521
C-aust-579cR-Lassen-CA	C-aust	aust	NA	CA	Lassen	40.4162428	-120.6628541	262264
C-aust-579eR-Lassen-CA	C-aust	aust	NA	CA	Lassen	40.4162428	-120.6628541	303726
C-aust-580aR-Shasta-CA	C-aust	aust	NA	CA	Shasta	40.6273671	-122.3143175	202334
C-aust-580bR-Shasta-CA	C-aust	aust	NA	CA	Shasta	40.6273671	-122.3143175	352332
C-aust-580cR-Shasta-CA	C-aust	aust	NA	CA	Shasta	40.6273671	-122.3143175	303525
C-aust-580dR-Shasta-CA	C-aust	aust	NA	CA	Shasta	40.6273671	-122.3143175	331691
C-aust-584aR-Jackson-OR	C-aust	aust	NA	OR	Jackson	42.3311164	-122.8354676	246724
C-aust-584bR-Jackson-OR	C-aust	aust	NA	OR	Jackson	42.3311164	-122.8354676	183979
C-aust-584cR-Jackson-OR	C-aust	aust	NA	OR	Jackson	42.3311164	-122.8354676	313213
C-aust-584dR-Jackson-OR	C-aust	aust	NA	OR	Jackson	42.3311164	-122.8354676	187504
C-aust-584eR-Jackson-OR	C-aust	aust	NA	OR	Jackson	42.3311164	-122.8354676	233444
C-aust-589aR-Douglas-OR	C-aust	aust	NA	OR	Douglas	43.2112474	-123.3441829	255575
C-aust-589bR-Douglas-OR	C-aust	aust	NA	OR	Douglas	43.2112474	-123.3441829	184465
C-aust-589cR-Douglas-OR	C-aust	aust	NA	OR	Douglas	43.2112474	-123.3441829	184368
C-aust-589dR-Douglas-OR	C-aust	aust	NA	OR	Douglas	43.2112474	-123.3441829	259359
C-aust-589eR-Douglas-OR	C-aust	aust	NA	OR	Douglas	43.2112474	-123.3441829	196291
C-aust-591aR-Lane-OR	C-aust	aust	NA	OR	Lane	43.961	-122.6618	389809
C-aust-591bR-Lane-OR	C-aust	aust	NA	OR	Lane	43.961	-122.6618	335584
C-aust-591cR-Lane-OR	C-aust	aust	NA	OR	Lane	43.961	-122.6618	314073
C-aust-591dR-Lane-OR	C-aust	aust	NA	OR	Lane	43.961	-122.6618	245151
C-aust-591eR-Lane-OR	C-aust	aust	NA	OR	Lane	43.961	-122.6618	344183
C-aust-593aR-HoodRiver-OR	C-aust	aust	NA	OR	HoodRiver	45.5605	-121.6379	294012
C-aust-593bR-HoodRiver-OR	C-aust	aust	NA	OR	HoodRiver	45.5605	-121.6379	237834
C-aust-593cR-HoodRiver-OR	C-aust	aust	NA	OR	HoodRiver	45.5605	-121.6379	203395
C-aust-593dR-HoodRiver-OR	C-aust	aust	NA	OR	HoodRiver	45.5605	-121.6379	320030
C-aust-593eR-HoodRiver-OR	C-aust	aust	NA	OR	HoodRiver	45.5605	-121.6379	240722
C-aust-597aR-Chelan-WA	C-aust	aust	NA	WA	Chelan	47.8350333	-120.0200147	207199
C-bent-423aR-Giles-VA	C-bent	bent	bentleyi	VA	Giles	37.3268985	-80.7349408	199002
C-bent-423bR-Giles-VA	C-bent	bent	bentleyi	VA	Giles	37.3268985	-80.7349408	207487
C-bent-423cR-Giles-VA	C-bent	bent	bentleyi	VA	Giles	37.3268985	-80.7349408	166431
C-bent-424aR-Monroe-WV	C-bent	bent	bentleyi	WV	Monroe	37.725048	-80.6426726	217918
C-bent-424bR-Monroe-WV	C-bent	bent	bentleyi	WV	Monroe	37.725048	-80.6426726	207912
C-bent-424cR-Monroe-WV	C-bent	bent	bentleyi	WV	Monroe	37.725048	-80.6426726	172029
C-bent-426aR-Allegheny-VA	C-bent	bent	bentleyi	VA	Allegheny	37.8532	-80.0535	185463
C-bent-426bR-Allegheny-VA	C-bent	bent	bentleyi	VA	Allegheny	37.8532	-80.0535	197870
C-bent-426cR-Allegheny-VA	C-bent	bent	bentleyi	VA	Allegheny	37.8532	-80.0535	179534
C-bent-493aR-Pocahontas-WV	C-bent	bent	bentleyi	WV	Pocahontas	38.2225705	-80.0944875	203842
C-bent-493bR-Pocahontas-WV	C-bent	bent	bentleyi	WV	Pocahontas	38.2225705	-80.0944875	177559
C-bent-493cR-Pocahontas-WV	C-bent	bent	bentleyi	WV	Pocahontas	38.2225705	-80.0944875	184116
C-bent-493dR-Pocahontas-WV	C-bent	bent	bentleyi	WV	Pocahontas	38.2225705	-80.0944875	237093
C-bent-493eR-Pocahontas-WV	C-bent	bent	bentleyi	WV	Pocahontas	38.2225705	-80.0944875	272353
C-bent-63aR-Giles-VA	C-bent	bent	bentleyi	VA	Giles	37.3268985	-80.7349408	229388
C-bent-64bR-Giles-VA	C-bent	bent	bentleyi	VA	Giles	37.3268985	-80.7349408	170521
C-bent-65aR-Giles-VA	C-bent	bent	bentleyi	VA	Giles	37.3268985	-80.7349408	97709
